Invoice ID,City,Gender,Product line,Unit price,Quantity,Total,Date,Payment,gross income,Rating
750-67-8428,Yangon,Female,Health and beauty,74.69,7,548.9715,1/5/2019,Ewallet,26.1415,9.1
226-31-3081,Naypyitaw,Female,Electronic accessories,15.28,5,80.22,3/8/2019,Cash,3.82,9.6
631-41-3108,Yangon,Male,Home and lifestyle,46.33,7,340.5255,3/3/2019,Credit card,16.2155,7.4
123-19-1176,Yangon,Male,Health and beauty,58.22,8,489.048,1/27/2019,Ewallet,23.288,8.4
373-73-7910,Yangon,Male,Sports and travel,86.31,7,634.3785,2/8/2019,Ewallet,30.2085,5.3
699-14-3026,Naypyitaw,Male,Electronic accessories,85.39,7,627.6165,3/25/2019,Ewallet,29.8865,4.1
355-53-5943,Yangon,Female,Electronic accessories,68.84,6,433.692,2/25/2019,Ewallet,20.652,5.8
315-22-5665,Naypyitaw,Female,Home and lifestyle,73.56,10,772.38,2/24/2019,Ewallet,36.78,8.0
665-32-9167,Yangon,Female,Health and beauty,36.26,2,76.146,1/10/2019,Credit card,3.626,7.2
692-92-5582,Mandalay,Female,Food and beverages,54.84,3,172.746,2/20/2019,Credit card,8.226,5.9
351-62-0822,Mandalay,Female,Fashion accessories,14.48,4,60.816,2/6/2019,Ewallet,2.896,4.5
529-56-3974,Mandalay,Male,Electronic accessories,25.51,4,107.142,3/9/2019,Cash,5.102,6.8
365-64-0515,Yangon,Female,Electronic accessories,46.95,5,246.4875,2/12/2019,Ewallet,11.7375,7.1
252-56-2699,Yangon,Male,Food and beverages,43.19,10,453.495,2/7/2019,Ewallet,21.595,8.2
829-34-3910,Yangon,Female,Health and beauty,71.38,10,749.49,3/29/2019,Cash,35.69,5.7
299-46-1805,Mandalay,Female,Sports and travel,93.72,6,590.436,1/15/2019,Cash,28.116,4.5
656-95-9349,Yangon,Female,Health and beauty,68.93,7,506.6355,3/11/2019,Credit card,24.1255,4.6
765-26-6951,Yangon,Male,Sports and travel,72.61,6,457.443,1/1/2019,Credit card,21.783,6.9
329-62-1586,Yangon,Male,Food and beverages,54.67,3,172.2105,1/21/2019,Credit card,8.2005,8.6
319-50-3348,Mandalay,Female,Home and lifestyle,40.3,2,84.63,3/11/2019,Ewallet,4.03,4.4
300-71-4605,Naypyitaw,Male,Electronic accessories,86.04,5,451.71,2/25/2019,Ewallet,21.51,4.8
371-85-5789,Mandalay,Male,Health and beauty,87.98,3,277.137,3/5/2019,Ewallet,13.197,5.1
273-16-6619,Mandalay,Male,Home and lifestyle,33.2,2,69.72,3/15/2019,Credit card,3.32,4.4
636-48-8204,Yangon,Male,Electronic accessories,34.56,5,181.44,2/17/2019,Ewallet,8.64,9.9
549-59-1358,Yangon,Male,Sports and travel,88.63,3,279.1845,3/2/2019,Ewallet,13.2945,6.0
227-03-5010,Yangon,Female,Home and lifestyle,52.59,8,441.756,3/22/2019,Credit card,21.036,8.5
649-29-6775,Mandalay,Male,Fashion accessories,33.52,1,35.196,2/8/2019,Cash,1.676,6.7
189-17-4241,Yangon,Female,Fashion accessories,87.67,2,184.107,3/10/2019,Credit card,8.767,7.7
